"lhs" "" "rhs" "support" "confidence" "lift"
"[72]" "{학술}" "=>" "{인하대}" 0.516129032258065 0.941176470588235 1.08061002178649
"[73]" "{인하대}" "=>" "{학술}" 0.516129032258065 0.592592592592593 1.08061002178649
"[74]" "{학술}" "=>" "{어디}" 0.548387096774194 1 1.10714285714286
"[75]" "{어디}" "=>" "{학술}" 0.548387096774194 0.607142857142857 1.10714285714286
"[76]" "{정석}" "=>" "{필요}" 0.580645161290323 1 1.40909090909091
"[77]" "{필요}" "=>" "{정석}" 0.580645161290323 0.818181818181818 1.40909090909091
"[78]" "{정석}" "=>" "{문의}" 0.419354838709677 0.722222222222222 0.93287037037037
"[79]" "{문의}" "=>" "{정석}" 0.419354838709677 0.541666666666667 0.93287037037037
"[80]" "{정석}" "=>" "{저녁}" 0.516129032258065 0.888888888888889 1.10222222222222
"[81]" "{저녁}" "=>" "{정석}" 0.516129032258065 0.64 1.10222222222222
"[82]" "{정석}" "=>" "{인하대}" 0.548387096774194 0.944444444444444 1.0843621399177
"[83]" "{인하대}" "=>" "{정석}" 0.548387096774194 0.62962962962963 1.0843621399177
"[84]" "{정석}" "=>" "{어디}" 0.516129032258065 0.888888888888889 0.984126984126984
"[85]" "{어디}" "=>" "{정석}" 0.516129032258065 0.571428571428571 0.984126984126984
"[86]" "{면접}" "=>" "{필요}" 0.387096774193548 0.631578947368421 0.889952153110048
"[87]" "{필요}" "=>" "{면접}" 0.387096774193548 0.545454545454545 0.889952153110048
"[88]" "{면접}" "=>" "{문의}" 0.580645161290323 0.947368421052632 1.22368421052632
"[89]" "{문의}" "=>" "{면접}" 0.580645161290323 0.75 1.22368421052632
"[90]" "{면접}" "=>" "{저녁}" 0.483870967741935 0.789473684210526 0.978947368421053
"[91]" "{저녁}" "=>" "{면접}" 0.483870967741935 0.6 0.978947368421053
"[92]" "{면접}" "=>" "{인하대}" 0.516129032258065 0.842105263157895 0.966861598440546
"[93]" "{인하대}" "=>" "{면접}" 0.516129032258065 0.592592592592593 0.966861598440546
"[94]" "{면접}" "=>" "{어디}" 0.516129032258065 0.842105263157895 0.932330827067669
"[95]" "{어디}" "=>" "{면접}" 0.516129032258065 0.571428571428571 0.932330827067669
"[96]" "{필요}" "=>" "{문의}" 0.548387096774194 0.772727272727273 0.998106060606061
"[97]" "{문의}" "=>" "{필요}" 0.548387096774194 0.708333333333333 0.998106060606061
"[98]" "{필요}" "=>" "{저녁}" 0.548387096774194 0.772727272727273 0.958181818181818
"[99]" "{저녁}" "=>" "{필요}" 0.548387096774194 0.68 0.958181818181818
"[100]" "{필요}" "=>" "{인하대}" 0.645161290322581 0.909090909090909 1.04377104377104
"[101]" "{인하대}" "=>" "{필요}" 0.645161290322581 0.740740740740741 1.04377104377104
"[102]" "{필요}" "=>" "{어디}" 0.645161290322581 0.909090909090909 1.00649350649351
"[103]" "{어디}" "=>" "{필요}" 0.645161290322581 0.714285714285714 1.00649350649351
"[104]" "{문의}" "=>" "{저녁}" 0.612903225806452 0.791666666666667 0.981666666666667
"[105]" "{저녁}" "=>" "{문의}" 0.612903225806452 0.76 0.981666666666667
"[106]" "{문의}" "=>" "{인하대}" 0.67741935483871 0.875 1.00462962962963
"[107]" "{인하대}" "=>" "{문의}" 0.67741935483871 0.777777777777778 1.00462962962963
"[108]" "{문의}" "=>" "{어디}" 0.67741935483871 0.875 0.96875
"[109]" "{어디}" "=>" "{문의}" 0.67741935483871 0.75 0.96875
"[110]" "{저녁}" "=>" "{인하대}" 0.774193548387097 0.96 1.10222222222222
"[111]" "{인하대}" "=>" "{저녁}" 0.774193548387097 0.888888888888889 1.10222222222222
"[112]" "{저녁}" "=>" "{어디}" 0.741935483870968 0.92 1.01857142857143
"[113]" "{어디}" "=>" "{저녁}" 0.741935483870968 0.821428571428571 1.01857142857143
"[114]" "{인하대}" "=>" "{어디}" 0.806451612903226 0.925925925925926 1.02513227513228
"[115]" "{어디}" "=>" "{인하대}" 0.806451612903226 0.892857142857143 1.02513227513228
"[116]" "{가을,필요}" "=>" "{어디}" 0.225806451612903 1 1.10714285714286
"[117]" "{가을,어디}" "=>" "{필요}" 0.225806451612903 1 1.40909090909091
"[118]" "{문의,어플}" "=>" "{인하대}" 0.225806451612903 0.875 1.00462962962963
"[119]" "{어플,인하대}" "=>" "{문의}" 0.225806451612903 1 1.29166666666667
"[120]" "{문의,어플}" "=>" "{어디}" 0.258064516129032 1 1.10714285714286
"[121]" "{어디,어플}" "=>" "{문의}" 0.258064516129032 1 1.29166666666667
"[122]" "{어플,인하대}" "=>" "{어디}" 0.225806451612903 1 1.10714285714286
"[123]" "{어디,어플}" "=>" "{인하대}" 0.225806451612903 0.875 1.00462962962963
"[124]" "{면접,준비}" "=>" "{문의}" 0.225806451612903 0.875 1.13020833333333
"[125]" "{문의,준비}" "=>" "{면접}" 0.225806451612903 1 1.63157894736842
"[126]" "{면접,준비}" "=>" "{인하대}" 0.225806451612903 0.875 1.00462962962963
"[127]" "{인하대,준비}" "=>" "{면접}" 0.225806451612903 0.7 1.14210526315789
"[128]" "{준비,필요}" "=>" "{인하대}" 0.258064516129032 0.888888888888889 1.02057613168724
"[129]" "{인하대,준비}" "=>" "{필요}" 0.258064516129032 0.8 1.12727272727273
"[130]" "{준비,필요}" "=>" "{어디}" 0.225806451612903 0.777777777777778 0.861111111111111
"[131]" "{어디,준비}" "=>" "{필요}" 0.225806451612903 0.777777777777778 1.0959595959596
"[132]" "{저녁,준비}" "=>" "{인하대}" 0.258064516129032 1 1.14814814814815
"[133]" "{인하대,준비}" "=>" "{저녁}" 0.258064516129032 0.8 0.992
"[134]" "{인하대,준비}" "=>" "{어디}" 0.258064516129032 0.8 0.885714285714286
"[135]" "{어디,준비}" "=>" "{인하대}" 0.258064516129032 0.888888888888889 1.02057613168724
"[136]" "{기존,학술}" "=>" "{저녁}" 0.225806451612903 1 1.24
"[137]" "{기존,저녁}" "=>" "{학술}" 0.225806451612903 0.7 1.27647058823529
"[138]" "{저녁,학술}" "=>" "{기존}" 0.225806451612903 0.5 1.40909090909091
"[139]" "{기존,학술}" "=>" "{인하대}" 0.225806451612903 1 1.14814814814815
"[140]" "{기존,인하대}" "=>" "{학술}" 0.225806451612903 0.777777777777778 1.41830065359477
"[141]" "{기존,학술}" "=>" "{어디}" 0.225806451612903 1 1.10714285714286
"[142]" "{기존,어디}" "=>" "{학술}" 0.225806451612903 0.777777777777778 1.41830065359477
"[143]" "{기존,정석}" "=>" "{필요}" 0.225806451612903 1 1.40909090909091
"[144]" "{기존,필요}" "=>" "{정석}" 0.225806451612903 1 1.72222222222222
"[145]" "{기존,정석}" "=>" "{저녁}" 0.225806451612903 1 1.24
"[146]" "{기존,저녁}" "=>" "{정석}" 0.225806451612903 0.7 1.20555555555556
"[147]" "{기존,정석}" "=>" "{인하대}" 0.225806451612903 1 1.14814814814815
"[148]" "{기존,인하대}" "=>" "{정석}" 0.225806451612903 0.777777777777778 1.33950617283951
"[149]" "{기존,면접}" "=>" "{문의}" 0.290322580645161 1 1.29166666666667
"[150]" "{기존,문의}" "=>" "{면접}" 0.290322580645161 0.9 1.46842105263158
"[151]" "{면접,문의}" "=>" "{기존}" 0.290322580645161 0.5 1.40909090909091
"[152]" "{기존,면접}" "=>" "{저녁}" 0.258064516129032 0.888888888888889 1.10222222222222
"[153]" "{기존,저녁}" "=>" "{면접}" 0.258064516129032 0.8 1.30526315789474
"[154]" "{면접,저녁}" "=>" "{기존}" 0.258064516129032 0.533333333333333 1.5030303030303
